dataset,feature,entropy,information_gain,mutual_information,chi_sq
cora,1092,0.022730788215994835,0.002018383987512074,0.0020182959342491813,0.002584818879768136
cora,1093,0.08785964548587799,0.0020157320650522753,0.0020157774997642264,0.0018924691157735651
cora,1094,0.14317861199378967,0.01134372356332608,0.011343683372615487,0.01652825833298266
cora,1095,0.03515917807817459,0.008720120000329686,0.00872015580534935,0.02488319702388253
cora,1096,0.21749766170978546,0.001910710104767288,0.0019107232874375768,0.0024094462642096914
cora,1097,0.26985323429107666,0.00502210480203652,0.005022205936256796,0.006937059544725344
cora,1098,0.04102307930588722,0.004188456781004921,0.004188562175841071,0.007714594008575659
cora,1099,0.025943651795387268,0.002468484041158611,0.0024684803684067447,0.002669914499620063
cora,1100,0.012474066577851772,0.0016132951383939793,0.0016132616401591804,0.0024922231104937964
cora,1101,0.04388607293367386,0.004275075605681147,0.004274934821296483,0.004562593412629212
cora,1102,0.05495308339595795,0.0027689614320831404,0.002768860438663978,0.0026355809768574545
cora,1103,0.029079947620630264,0.0009282367858358953,0.0009283108738600276,0.0011114864178125572
cora,1104,0.03515917807817459,0.0019859862362517494,0.0019860213360516354,0.0025937215050362283
cora,1105,0.060288552194833755,0.008116597015317119,0.008116636076010764,0.008804336823232006
cora,1106,0.04670776426792145,0.0011792891140218337,0.0011792574150604196,0.001327591634435521
cora,1107,0.03515917807817459,0.0024582554986549085,0.0024583167250966653,0.002208432464612997
cora,1108,0.025943651795387268,0.0020887116293534305,0.0020886569436697755,0.0033134247960333596
cora,1109,0.05763576552271843,0.009617501300274,0.009617402829462662,0.014674900914542377
cora,1110,0.06291317194700241,0.012689155664025335,0.012689091032370925,0.02595506150100846
cora,1111,0.01942843571305275,0.0019175020146955414,0.001917429966852069,0.002038783906300523
cora,1112,0.060288552194833755,0.004617303514239578,0.004617217285613151,0.00683883063175017
cora,1113,0.029079947620630264,0.005954140414135802,0.005954011809080839,0.01161083772603888
cora,1114,0.1513614058494568,0.00956915154161711,0.009569218207616359,0.01577004507998936
cora,1115,0.025943651795387268,0.0027450338787395126,0.002745028061326593,0.002926394650785369
cora,1116,0.10420054942369461,0.008116908573670714,0.008116934623103589,0.012458069817512296
cora,1117,0.12200183421373367,0.0013863291850030046,0.0013863392523489892,0.0018901798430306371
