dataname,debias_method,epochs,seed,debias_attr,reg_weight,temp,der1,ratio,f1_0,f1_1,f1_2,link
LastFM,aug-n,200,100,1,10.0,1.0,0.2,20.0,0.7586568730325288,0.7198321091290661,0.6810073452256034,0.49598345998066834
LastFM,aug-r,200,100,1,10.0,1.0,0.2,20.0,0.75498426023085,0.7151101783840503,0.6762854144805877,0.37952278768756115
LastFM,opposite-r,200,100,1,10.0,1.0,0.2,20.0,0.7565582371458552,0.7177334732423925,0.6673662119622246,0.38271213075064053
LastFM,r,200,100,1,10.0,1.0,0.2,20.0,0.753934942287513,0.7130115424973767,0.6768100734522561,0.3817611215972094
LastFM,opposite,200,100,0,10.0,1.0,0.2,20.0,0.7597061909758657,0.7198321091290661,0.6846799580272823,0.4945771279991203
LastFM,aug,200,100,0,10.0,1.0,0.2,20.0,0.7513116474291711,0.7161594963273872,0.6768100734522561,0.4954074578327337
LastFM,aug-n,200,100,0,10.0,1.0,0.2,20.0,0.7586568730325288,0.7166841552990556,0.6815320041972718,0.49586130173562365
LastFM,aug-r,200,100,0,10.0,1.0,0.2,20.0,0.7465897166841553,0.717208814270724,0.6657922350472193,0.38706399598523344
LastFM,opposite-r,200,100,0,10.0,1.0,0.2,20.0,0.7434417628541448,0.717208814270724,0.6710388247639034,0.40292563003868315
LastFM,r,200,100,0,10.0,1.0,0.2,20.0,0.753934942287513,0.727177334732424,0.6825813221406086,0.39678664118054097
