label,index,num_edges,num_nodes,density,num_triangles,max_diameter,seed,subgraph_size,num_save,batch_size,timesteps,epochs,method,dataset
pred,38,20,16,1.25,0,4,123,16,50,64,400,5,walk,cora
pred,39,23,16,1.4375,0,7,123,16,50,64,400,5,walk,cora
pred,40,22,16,1.375,0,5,123,16,50,64,400,5,walk,cora
pred,41,20,16,1.25,0,6,123,16,50,64,400,5,walk,cora
pred,42,20,16,1.25,0,5,123,16,50,64,400,5,walk,cora
pred,43,20,16,1.25,0,6,123,16,50,64,400,5,walk,cora
pred,44,25,16,1.5625,1,4,123,16,50,64,400,5,walk,cora
pred,45,16,16,1.0,0,3,123,16,50,64,400,5,walk,cora
pred,46,29,16,1.8125,0,12,123,16,50,64,400,5,walk,cora
pred,47,25,16,1.5625,0,11,123,16,50,64,400,5,walk,cora
pred,48,19,16,1.1875,0,3,123,16,50,64,400,5,walk,cora
pred,49,36,16,2.25,2,11,123,16,50,64,400,5,walk,cora
train,0,74,32,2.3125,7,15,123,32,50,64,400,5,walk,cora
train,1,80,32,2.5,8,14,123,32,50,64,400,5,walk,cora
train,2,100,32,3.125,19,10,123,32,50,64,400,5,walk,cora
train,3,100,32,3.125,15,7,123,32,50,64,400,5,walk,cora
train,4,100,32,3.125,14,11,123,32,50,64,400,5,walk,cora
train,5,80,32,2.5,8,16,123,32,50,64,400,5,walk,cora
train,6,96,32,3.0,15,13,123,32,50,64,400,5,walk,cora
train,7,86,32,2.6875,14,8,123,32,50,64,400,5,walk,cora
train,8,72,32,2.25,2,20,123,32,50,64,400,5,walk,cora
train,9,76,32,2.375,4,17,123,32,50,64,400,5,walk,cora
train,10,96,32,3.0,13,10,123,32,50,64,400,5,walk,cora
train,11,80,32,2.5,5,16,123,32,50,64,400,5,walk,cora
train,12,94,32,2.9375,17,6,123,32,50,64,400,5,walk,cora
train,13,90,32,2.8125,18,18,123,32,50,64,400,5,walk,cora
train,14,82,32,2.5625,6,11,123,32,50,64,400,5,walk,cora
train,15,128,32,4.0,42,8,123,32,50,64,400,5,walk,cora
train,16,82,32,2.5625,9,8,123,32,50,64,400,5,walk,cora
train,17,78,32,2.4375,7,14,123,32,50,64,400,5,walk,cora
